,Unnamed: 0,County,Borough,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Employed,Latitude,Longitude,cluster_4
494785,494785,Kings,Brooklyn,3840,62431.0,10888.0,26339.0,4996.0,13.9,1875,40.5591457286,-74.0014070352,0
1271,1271,Kings,Brooklyn,1868,34740.0,13495.0,11694.0,2065.0,39.8,757,40.6903015075,-73.9064321608,3
473016,473016,Kings,Brooklyn,4274,43046.0,5975.0,19849.0,2412.0,17.5,1822,40.5681909548,-73.9444221106,2
326379,326379,Kings,Brooklyn,1367,96146.0,13423.0,69754.0,10753.0,7.2,986,40.6925628141,-73.9792462312,1
272085,272085,Kings,Brooklyn,3394,34729.0,6529.0,17988.0,3057.0,22.4,1310,40.5953266332,-73.9665829146,3
6937,6937,Kings,Brooklyn,5962,90616.0,12611.0,50871.0,4987.0,26.3,3368,40.581758794,-74.0172361809,2
463293,463293,Kings,Brooklyn,3003,44018.0,10451.0,22455.0,3020.0,14.9,1351,40.6473366834,-73.98874371859999,0
336942,336942,Kings,Brooklyn,8924,33945.0,7118.0,13155.0,5811.0,51.1,2215,40.5681909548,-73.9919095477,2
286798,286798,Kings,Brooklyn,498,29659.0,26139.0,25407.0,10839.0,46.6,156,40.6473366834,-74.05522613069999,3
534725,534725,Kings,Brooklyn,3213,32500.0,6045.0,14996.0,2099.0,35.9,1117,40.5885427136,-73.9475879397,3
74520,74520,Kings,Brooklyn,1843,59130.0,12141.0,33142.0,4013.0,15.7,888,40.7038693467,-73.9412562814,0
238496,238496,Kings,Brooklyn,3364,39141.0,14250.0,20270.0,3131.0,29.4,1418,40.5885427136,-73.8716080402,3
543327,543327,Kings,Brooklyn,3037,44088.0,5935.0,15111.0,2269.0,26.2,1292,40.6473366834,-73.90959798989999,3
446859,446859,Kings,Brooklyn,2194,40698.0,7494.0,22889.0,4091.0,24.6,984,40.654120603,-73.9665829146,3
230379,230379,Kings,Brooklyn,4074,66836.0,8564.0,35190.0,5213.0,12.6,1947,40.7106532663,-73.93175879399999,0
12662,12662,Kings,Brooklyn,2837,69609.0,10759.0,32328.0,3662.0,3.3,1219,40.6428140704,-74.0045728643,0
392674,392674,Kings,Brooklyn,2814,83125.0,13049.0,29733.0,4398.0,13.0,1196,40.6812562814,-73.92226130649999,0
4046,4046,Kings,Brooklyn,4029,130966.0,10511.0,103138.0,18300.0,5.2,2561,40.6857788945,-73.98241206029999,1
13969,13969,Kings,Brooklyn,3038,69848.0,29677.0,39530.0,8417.0,20.0,1578,40.6789949749,-73.92859296479999,0
348583,348583,Kings,Brooklyn,3744,42993.0,13950.0,24734.0,4023.0,25.8,1633,40.6360301508,-73.976080402,3
67401,67401,Kings,Brooklyn,4244,111950.0,17811.0,72778.0,14042.0,9.7,2750,40.5659296482,-73.9444221106,1
377596,377596,Kings,Brooklyn,4817,68429.0,7293.0,37570.0,3594.0,6.5,2431,40.584020100500005,-74.0362311558,2
503908,503908,Kings,Brooklyn,2103,66964.0,16020.0,21461.0,2692.0,20.6,995,40.6495979899,-73.9792462312,0
234772,234772,Kings,Brooklyn,4240,40272.0,5292.0,25055.0,3289.0,25.7,2036,40.5930653266,-73.8716080402,2
152141,152141,Kings,Brooklyn,4225,37917.0,9428.0,19558.0,2497.0,27.4,1787,40.6993467337,-73.953919598,2
470116,470116,Kings,Brooklyn,3208,51827.0,9348.0,22892.0,3329.0,16.4,1477,40.5727135678,-74.0077386935,0
161193,161193,Kings,Brooklyn,2685,48841.0,9463.0,28798.0,5227.0,12.6,1331,40.654120603,-73.998241206,0
314978,314978,Kings,Brooklyn,2431,69712.0,12481.0,42986.0,6557.0,10.2,1580,40.6179396985,-74.0109045226,0
189724,189724,Kings,Brooklyn,2029,60132.0,30964.0,24224.0,3425.0,22.9,812,40.6722110553,-73.8811055276,0
334025,334025,Kings,Brooklyn,6705,32022.0,7106.0,20287.0,2581.0,38.3,3120,40.6789949749,-73.9127638191,2
202518,202518,Kings,Brooklyn,5783,47578.0,23692.0,22164.0,3774.0,19.7,2290,40.6382914573,-73.9665829146,2
318703,318703,Kings,Brooklyn,3948,40417.0,14637.0,17967.0,3007.0,29.9,1904,40.6043718593,-73.8779396985,2
290348,290348,Kings,Brooklyn,1651,60250.0,18555.0,39810.0,10604.0,7.0,613,40.615678392,-73.8747738693,0
461136,461136,Kings,Brooklyn,3290,52554.0,10896.0,25850.0,2687.0,10.3,1702,40.5704522613,-73.998241206,0
316374,316374,Kings,Brooklyn,4824,86771.0,13097.0,46356.0,10566.0,11.6,2829,40.6043718593,-73.9001005025,1
45390,45390,Kings,Brooklyn,3860,49274.0,16706.0,18557.0,3059.0,30.2,1830,40.6269849246,-73.9032663317,2
43432,43432,Kings,Brooklyn,4373,53380.0,9212.0,22787.0,3863.0,15.2,2107,40.586281407,-73.9032663317,2
157313,157313,Kings,Brooklyn,4946,47336.0,9252.0,22374.0,3180.0,20.5,2318,40.6134170854,-74.0109045226,2
223462,223462,Kings,Brooklyn,2375,26936.0,5954.0,24003.0,14837.0,29.5,784,40.6382914573,-73.9665829146,3
43866,43866,Kings,Brooklyn,4373,53380.0,9212.0,22787.0,3863.0,15.2,2107,40.5885427136,-73.98241206029999,2
157332,157332,Kings,Brooklyn,4946,47336.0,9252.0,22374.0,3180.0,20.5,2318,40.615678392,-73.8874371859,2
357374,357374,Kings,Brooklyn,1519,66250.0,19873.0,32257.0,4502.0,10.9,582,40.6224623116,-73.85577889449999,0
434438,434438,Kings,Brooklyn,2586,81299.0,8096.0,28328.0,3564.0,4.7,1289,40.5659296482,-74.0109045226,0
17656,17656,Kings,Brooklyn,2455,102981.0,18057.0,57069.0,7621.0,8.7,1520,40.6495979899,-73.9507537688,0
387041,387041,Kings,Brooklyn,2670,45547.0,14530.0,24397.0,5657.0,25.2,990,40.5794974874,-73.91909547739999,3
9608,9608,Kings,Brooklyn,4902,36563.0,11436.0,21061.0,3389.0,29.3,2260,40.5885427136,-73.8716080402,2
405655,405655,Kings,Brooklyn,1863,81750.0,15710.0,27882.0,3823.0,2.2,848,40.5953266332,-73.9919095477,0
67350,67350,Kings,Brooklyn,4244,111950.0,17811.0,72778.0,14042.0,9.7,2750,40.6292462312,-73.91909547739999,1
47932,47932,Kings,Brooklyn,5407,38042.0,7176.0,15228.0,3350.0,41.3,2486,40.6066331658,-73.9032663317,2
107422,107422,Kings,Brooklyn,5761,54369.0,8046.0,27736.0,3136.0,15.9,2190,40.620201005,-73.98874371859999,2
435186,435186,Kings,Brooklyn,4685,51975.0,4581.0,21629.0,2158.0,15.1,2069,40.5659296482,-74.0109045226,2
83358,83358,Kings,Brooklyn,3674,128611.0,27701.0,79572.0,16937.0,4.7,2091,40.6360301508,-73.8906030151,1
40798,40798,Kings,Brooklyn,4774,135697.0,26494.0,77933.0,19128.0,4.1,3011,40.6043718593,-73.976080402,1
175300,175300,Kings,Brooklyn,2774,30755.0,6763.0,18375.0,3079.0,25.5,1186,40.7083919598,-73.9665829146,3
88429,88429,Kings,Brooklyn,654,97760.0,14290.0,31448.0,8750.0,8.6,183,40.6970854271,-73.976080402,0
423107,423107,Kings,Brooklyn,1906,61667.0,18204.0,29261.0,5901.0,31.2,737,40.6179396985,-73.976080402,0
445822,445822,Kings,Brooklyn,1256,9829.0,2214.0,6164.0,1314.0,71.4,57,40.688040201,-73.98241206029999,3
211319,211319,Kings,Brooklyn,2899,31701.0,8934.0,17753.0,3856.0,34.5,1036,40.6066331658,-73.85261306529999,3
507316,507316,Kings,Brooklyn,2561,65096.0,10989.0,27450.0,2588.0,13.9,1408,40.7287437186,-73.9602512563,0
483936,483936,Kings,Brooklyn,3406,32292.0,16858.0,20712.0,6590.0,33.5,1202,40.586281407,-73.8747738693,3
443775,443775,Kings,Brooklyn,5031,41607.0,4515.0,25682.0,5459.0,22.3,2127,40.6586432161,-74.0235678392,2
514976,514976,Kings,Brooklyn,2508,67955.0,12777.0,28338.0,2600.0,7.2,1312,40.7151758794,-73.9444221106,0
542022,542022,Kings,Brooklyn,3121,52260.0,12591.0,23274.0,3842.0,11.3,1456,40.6744723618,-74.0014070352,0
169590,169590,Kings,Brooklyn,1690,56974.0,8170.0,29736.0,4320.0,14.9,823,40.615678392,-73.8906030151,0
8127,8127,Kings,Brooklyn,1368,61023.0,21769.0,21544.0,3706.0,21.1,703,40.6450753769,-74.0172361809,0
281540,281540,Kings,Brooklyn,5378,56657.0,16104.0,22393.0,2133.0,21.4,3048,40.6337688442,-73.953919598,2
80144,80144,Kings,Brooklyn,1642,82188.0,23449.0,34430.0,4281.0,8.9,727,40.584020100500005,-74.0298994975,0
406966,406966,Kings,Brooklyn,2842,84674.0,19187.0,27275.0,2685.0,5.3,1416,40.5749748744,-73.9064321608,0
51503,51503,Kings,Brooklyn,6312,33229.0,6145.0,12430.0,1380.0,40.3,2814,40.7061306533,-73.9729145729,2
411820,411820,Kings,Brooklyn,2748,85515.0,10954.0,38824.0,4712.0,0.7,1141,40.615678392,-73.8367839196,0
343917,343917,Kings,Brooklyn,382,92500.0,48818.0,54282.0,19808.0,10.2,278,40.6269849246,-73.9729145729,1
490862,490862,Kings,Brooklyn,2907,23417.0,12218.0,12846.0,2161.0,33.6,816,40.6609045226,-73.8969346734,3
447701,447701,Kings,Brooklyn,2801,48415.0,9338.0,20901.0,2874.0,24.1,1166,40.6563819095,-74.0045728643,3
523344,523344,Kings,Brooklyn,3739,36175.0,6860.0,16288.0,4262.0,37.8,1107,40.721959799,-73.9507537688,3
131323,131323,Kings,Brooklyn,3367,30913.0,5721.0,12339.0,2549.0,33.8,1083,40.6088944724,-74.0362311558,3
174092,174092,Kings,Brooklyn,2626,15135.0,3217.0,11027.0,2675.0,50.0,629,40.5930653266,-73.85261306529999,3
346879,346879,Kings,Brooklyn,5071,39773.0,9086.0,21313.0,2567.0,43.4,2125,40.6428140704,-73.98874371859999,2
199535,199535,Kings,Brooklyn,6446,43245.0,6238.0,24032.0,4602.0,18.2,3354,40.6518592965,-74.0204020101,2
223940,223940,Kings,Brooklyn,3345,28750.0,8032.0,17510.0,3263.0,40.9,1358,40.6473366834,-73.85894472359999,3
220891,220891,Kings,Brooklyn,5213,30898.0,6354.0,16884.0,2603.0,46.4,1965,40.584020100500005,-73.9570854271,2
76926,76926,Kings,Brooklyn,3610,80170.0,26448.0,43717.0,5757.0,17.8,2370,40.5885427136,-74.0140703518,0
288553,288553,Kings,Brooklyn,2262,55536.0,11079.0,23660.0,4676.0,43.0,1152,40.6925628141,-73.92542713569999,3
227712,227712,Kings,Brooklyn,4702,36487.0,5549.0,16724.0,2088.0,31.3,1802,40.6654271357,-73.8747738693,2
39706,39706,Kings,Brooklyn,6061,46204.0,12705.0,16244.0,2567.0,32.8,2605,40.5975879397,-73.98874371859999,2
46357,46357,Kings,Brooklyn,6916,14000.0,5022.0,13176.0,4615.0,52.7,1794,40.6722110553,-74.0109045226,2
152792,152792,Kings,Brooklyn,1914,41289.0,9946.0,20991.0,3175.0,27.1,923,40.6269849246,-73.92226130649999,3
281692,281692,Kings,Brooklyn,5378,56657.0,16104.0,22393.0,2133.0,21.4,3048,40.6269849246,-74.0077386935,2
158012,158012,Kings,Brooklyn,3558,51050.0,23649.0,32354.0,10826.0,27.6,1676,40.6473366834,-73.92542713569999,0
535532,535532,Kings,Brooklyn,4154,15854.0,7578.0,12296.0,2660.0,49.2,1242,40.688040201,-73.8716080402,3
371638,371638,Kings,Brooklyn,2658,56797.0,14087.0,20032.0,2314.0,12.9,1117,40.5885427136,-74.0140703518,0
126508,126508,Kings,Brooklyn,4313,30861.0,5263.0,12557.0,3138.0,43.8,1415,40.5749748744,-73.9507537688,3
347068,347068,Kings,Brooklyn,5071,39773.0,9086.0,21313.0,2567.0,43.4,2125,40.6111557789,-73.8399497487,2
190243,190243,Kings,Brooklyn,4304,24706.0,7445.0,15711.0,2352.0,37.3,1719,40.6925628141,-73.9792462312,3
149193,149193,Kings,Brooklyn,4256,48261.0,11325.0,19239.0,2826.0,17.3,1872,40.6450753769,-73.9602512563,2
326653,326653,Kings,Brooklyn,1367,96146.0,13423.0,69754.0,10753.0,7.2,986,40.5930653266,-73.92226130649999,1
234554,234554,Kings,Brooklyn,4240,40272.0,5292.0,25055.0,3289.0,25.7,2036,40.7242211055,-73.93175879399999,2
526752,526752,Kings,Brooklyn,3826,40323.0,8025.0,16560.0,2457.0,30.7,1480,40.6676884422,-74.0457286432,3
538371,538371,Kings,Brooklyn,3104,40357.0,5080.0,16343.0,2845.0,29.1,1108,40.6088944724,-73.98874371859999,3
166203,166203,Kings,Brooklyn,4325,46194.0,12781.0,19841.0,3116.0,26.5,2001,40.6043718593,-73.92226130649999,2
12328,12328,Kings,Brooklyn,2837,69609.0,10759.0,32328.0,3662.0,3.3,1219,40.6654271357,-73.99507537689999,0
256326,256326,Kings,Brooklyn,1854,43750.0,13081.0,24093.0,4691.0,19.3,688,40.6269849246,-73.9032663317,0
309736,309736,Kings,Brooklyn,3933,57477.0,7657.0,25117.0,3414.0,12.7,1853,40.6586432161,-73.8906030151,2
215604,215604,Kings,Brooklyn,1035,11011.0,1485.0,12823.0,1058.0,51.6,103,40.6473366834,-73.9570854271,3
477329,477329,Kings,Brooklyn,5358,27716.0,2978.0,15048.0,3229.0,37.4,2036,40.5953266332,-73.84628140699999,2
285788,285788,Kings,Brooklyn,3465,33831.0,15356.0,16235.0,3310.0,38.8,1300,40.6043718593,-73.92542713569999,3
323819,323819,Kings,Brooklyn,3798,31047.0,10042.0,26421.0,3750.0,29.2,1963,40.6495979899,-73.8716080402,2
11287,11287,Kings,Brooklyn,1841,68958.0,27278.0,38640.0,8168.0,13.5,878,40.6088944724,-73.976080402,0
161421,161421,Kings,Brooklyn,2685,48841.0,9463.0,28798.0,5227.0,12.6,1331,40.5975879397,-73.99507537689999,0
382694,382694,Kings,Brooklyn,1838,45202.0,11340.0,17035.0,3904.0,23.8,672,40.5749748744,-74.0077386935,3
42350,42350,Kings,Brooklyn,4409,123592.0,10694.0,68519.0,10673.0,5.0,2714,40.6948241206,-73.9507537688,1
33348,33348,Kings,Brooklyn,3244,64214.0,12233.0,38667.0,6595.0,11.3,1576,40.584020100500005,-73.9507537688,0
311639,311639,Kings,Brooklyn,4535,67907.0,11113.0,28692.0,2888.0,18.2,2251,40.6021105528,-73.92859296479999,2
92762,92762,Kings,Brooklyn,4115,72875.0,15046.0,26610.0,3729.0,18.0,1829,40.6676884422,-73.998241206,0
431586,431586,Kings,Brooklyn,3302,54732.0,12083.0,22990.0,3653.0,19.9,1267,40.584020100500005,-73.8811055276,0
362897,362897,Kings,Brooklyn,3886,58553.0,23401.0,42449.0,5113.0,9.5,2502,40.6473366834,-74.0488944724,0
497243,497243,Kings,Brooklyn,2359,70625.0,24724.0,31033.0,9072.0,10.8,1237,40.584020100500005,-73.9001005025,0
287323,287323,Kings,Brooklyn,2638,67431.0,13319.0,32085.0,5497.0,11.0,932,40.5953266332,-73.8906030151,0
401647,401647,Kings,Brooklyn,1938,81964.0,17419.0,30682.0,4836.0,3.9,1028,40.6812562814,-73.8842713568,0
545912,545912,Kings,Brooklyn,3054,42301.0,6472.0,16520.0,2192.0,19.9,1345,40.581758794,-73.9032663317,3
516181,516181,Kings,Brooklyn,4029,18158.0,10181.0,11721.0,2495.0,43.5,1025,40.620201005,-73.93809045229999,3
285348,285348,Kings,Brooklyn,1924,52083.0,11326.0,33090.0,6859.0,20.8,849,40.6654271357,-73.99507537689999,0
338993,338993,Kings,Brooklyn,4227,31004.0,12494.0,18955.0,5252.0,38.2,1386,40.654120603,-74.0267336683,3
442923,442923,Kings,Brooklyn,3797,55833.0,9584.0,29948.0,4720.0,19.1,1714,40.6247236181,-73.85577889449999,0
130080,130080,Kings,Brooklyn,2438,48269.0,16028.0,14414.0,2364.0,27.9,1006,40.6043718593,-73.8937688442,3
307319,307319,Kings,Brooklyn,3637,46146.0,6929.0,18859.0,3650.0,31.5,1302,40.7061306533,-73.9729145729,3
229860,229860,Kings,Brooklyn,4074,66836.0,8564.0,35190.0,5213.0,12.6,1947,40.6495979899,-74.0425628141,0
45895,45895,Kings,Brooklyn,6916,14000.0,5022.0,13176.0,4615.0,52.7,1794,40.5953266332,-73.92859296479999,2
400521,400521,Kings,Brooklyn,1699,63571.0,8099.0,20828.0,3370.0,18.3,747,40.6450753769,-73.9602512563,0
203031,203031,Kings,Brooklyn,4634,23007.0,5427.0,16528.0,4396.0,41.3,1327,40.6699497487,-73.9792462312,3
519363,519363,Kings,Brooklyn,3988,59455.0,3877.0,29980.0,2600.0,8.6,2119,40.6925628141,-73.9792462312,2
251872,251872,Kings,Brooklyn,3724,27827.0,5244.0,16171.0,3637.0,41.8,1266,40.5930653266,-73.8811055276,3
4927,4927,Kings,Brooklyn,4162,121083.0,44908.0,86132.0,12844.0,7.7,2632,40.6088944724,-74.0330653266,1
554961,554961,Kings,Brooklyn,8566,32269.0,5247.0,16557.0,2214.0,26.9,3339,40.5794974874,-73.8874371859,2
319589,319589,Kings,Brooklyn,2111,38807.0,9141.0,20180.0,2828.0,15.2,1027,40.6473366834,-73.8811055276,3
322712,322712,Kings,Brooklyn,5028,45982.0,8300.0,20049.0,2232.0,16.7,2408,40.6224623116,-73.8842713568,2
395575,395575,Kings,Brooklyn,1241,95368.0,14968.0,39290.0,5960.0,5.7,557,40.6021105528,-73.8874371859,0
207799,207799,Kings,Brooklyn,4495,34231.0,8860.0,19445.0,2263.0,32.4,1925,40.6111557789,-73.8906030151,2
52594,52594,Kings,Brooklyn,5265,42911.0,4814.0,13699.0,1578.0,24.9,2357,40.6586432161,-74.0077386935,2
258082,258082,Kings,Brooklyn,4365,38955.0,4814.0,16170.0,2089.0,18.4,1954,40.6518592965,-73.976080402,2
435754,435754,Kings,Brooklyn,2806,93176.0,8858.0,33200.0,6627.0,8.6,1414,40.6111557789,-73.8747738693,0
87357,87357,Kings,Brooklyn,2560,71602.0,8495.0,39457.0,5770.0,11.0,1370,40.6744723618,-73.9507537688,0
356387,356387,Kings,Brooklyn,3003,80000.0,7368.0,46508.0,5125.0,9.4,2021,40.5908040201,-73.93175879399999,0
534310,534310,Kings,Brooklyn,3213,32500.0,6045.0,14996.0,2099.0,35.9,1117,40.6970854271,-73.92226130649999,3
95380,95380,Kings,Brooklyn,1908,72692.0,18043.0,33955.0,4347.0,6.4,795,40.620201005,-73.91592964819999,0
152279,152279,Kings,Brooklyn,4225,37917.0,9428.0,19558.0,2497.0,27.4,1787,40.6247236181,-74.0488944724,2
