,Unnamed: 0,County,Borough,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Employed,Latitude,Longitude,cluster_4
8740,8740,New York,Manhattan,3238,44286.0,12364.0,45340.0,10430.0,32.9,1419,40.8485929648,-73.92859296479999,3
71877,71877,New York,Manhattan,11069,48242.0,6962.0,21637.0,2257.0,14.9,5983,40.7242211055,-73.9665829146,0
12662,12662,New York,Manhattan,3726,168375.0,33442.0,104742.0,18715.0,11.9,1996,40.755879397,-73.998241206,2
6606,6606,New York,Manhattan,7240,30056.0,7828.0,24697.0,3561.0,34.7,3069,40.753618090500005,-73.9792462312,0
20839,20839,New York,Manhattan,8957,111476.0,13572.0,108123.0,17441.0,10.2,6056,40.7355276382,-73.98241206029999,1
19379,19379,New York,Manhattan,1912,103264.0,25325.0,83498.0,16201.0,18.6,1306,40.7242211055,-73.9697487437,2
23796,23796,New York,Manhattan,1717,122379.0,38576.0,111765.0,20723.0,5.4,1414,40.7830150754,-73.9792462312,2
4143,4143,New York,Manhattan,8326,59416.0,7717.0,34216.0,4507.0,26.0,4951,40.755879397,-73.9570854271,0
20602,20602,New York,Manhattan,5045,110242.0,24765.0,104572.0,12870.0,10.5,3307,40.7784924623,-73.9697487437,1
6683,6683,New York,Manhattan,7240,30056.0,7828.0,24697.0,3561.0,34.7,3069,40.8011055276,-73.92226130649999,0
26814,26814,New York,Manhattan,7259,125488.0,14020.0,164802.0,44260.0,5.5,3905,40.8033668342,-73.976080402,2
66704,66704,New York,Manhattan,3926,38067.0,7134.0,23358.0,5114.0,32.5,1777,40.721959799,-73.98241206029999,3
45892,45892,New York,Manhattan,4693,26136.0,7756.0,27423.0,6873.0,37.5,1496,40.7671859296,-73.9475879397,3
6623,6623,New York,Manhattan,7240,30056.0,7828.0,24697.0,3561.0,34.7,3069,40.7061306533,-73.98557788939999,0
24328,24328,New York,Manhattan,3299,145956.0,30975.0,84944.0,17324.0,13.7,1643,40.7106532663,-74.0140703518,2
29383,29383,New York,Manhattan,126,82361.0,29445.0,102013.0,54870.0,19.0,108,40.7513567839,-74.0140703518,2
11014,11014,New York,Manhattan,16200,93010.0,10005.0,57640.0,7553.0,13.1,10148,40.7377889447,-73.9729145729,1
10235,10235,New York,Manhattan,7897,59570.0,19014.0,53593.0,9875.0,18.5,4313,40.7694472362,-73.9665829146,1
66210,66210,New York,Manhattan,7911,47957.0,13999.0,26193.0,3625.0,25.7,4277,40.7784924623,-73.98557788939999,0
71190,71190,New York,Manhattan,6935,74621.0,5523.0,40913.0,4398.0,17.0,3894,40.8598994975,-73.9412562814,0
43439,43439,New York,Manhattan,3861,222222.0,33480.0,189772.0,27926.0,2.0,1759,40.7377889447,-73.9792462312,2
32604,32604,New York,Manhattan,2483,150682.0,21997.0,121754.0,19341.0,8.8,1873,40.721959799,-73.98241206029999,2
8865,8865,New York,Manhattan,3140,81250.0,28785.0,55379.0,8980.0,24.7,1718,40.7174371859,-73.98557788939999,3
27067,27067,New York,Manhattan,4482,120053.0,17918.0,88104.0,12266.0,4.6,2991,40.753618090500005,-73.9634170854,1
17520,17520,New York,Manhattan,2604,183750.0,35202.0,139299.0,25912.0,7.4,1551,40.7694472362,-73.998241206,2
44007,44007,New York,Manhattan,9195,21577.0,5389.0,15640.0,2245.0,40.1,2825,40.8259798995,-73.9507537688,0
1447,1447,New York,Manhattan,1626,147500.0,30405.0,111599.0,16700.0,6.0,1120,40.7264824121,-73.9729145729,2
69086,69086,New York,Manhattan,4155,54913.0,6916.0,35324.0,5461.0,25.0,2112,40.6948241206,-74.0235678392,3
44426,44426,New York,Manhattan,7101,109971.0,14613.0,109915.0,20153.0,8.6,3820,40.7332663317,-73.9729145729,1
59367,59367,New York,Manhattan,7569,47155.0,9711.0,27843.0,5584.0,39.0,3211,40.7671859296,-73.9475879397,0
65927,65927,New York,Manhattan,2810,41036.0,12263.0,23321.0,3991.0,22.6,1426,40.6970854271,-74.0172361809,3
44136,44136,New York,Manhattan,9195,21577.0,5389.0,15640.0,2245.0,40.1,2825,40.7106532663,-73.998241206,0
48953,48953,New York,Manhattan,8275,31842.0,4386.0,20008.0,3678.0,25.7,3529,40.8372864322,-73.9507537688,0
33985,33985,New York,Manhattan,3277,244375.0,87688.0,195800.0,33828.0,7.1,1399,40.8757286432,-73.92859296479999,2
53194,53194,New York,Manhattan,7608,117045.0,25802.0,71348.0,9226.0,12.3,4306,40.7920603015,-73.9602512563,1
37553,37553,New York,Manhattan,7675,117656.0,22922.0,101680.0,10964.0,5.4,4372,40.8598994975,-73.93809045229999,1
53620,53620,New York,Manhattan,4327,19045.0,5094.0,19636.0,3260.0,37.3,1640,40.812412060300005,-73.953919598,3
6270,6270,New York,Manhattan,4266,70037.0,16189.0,49294.0,10103.0,14.2,2686,40.8666834171,-73.93175879399999,3
63503,63503,New York,Manhattan,8370,28800.0,3316.0,14859.0,2276.0,30.2,3447,40.7332663317,-74.0140703518,0
