,Unnamed: 0,County,Borough,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Employed,Latitude,Longitude,cluster_4
299041,299041,Queens,Queens,3836,34141.0,11975.0,23097.0,2489.0,16.3,1660,40.5636683417,-73.92226130649999,1
352298,352298,Queens,Queens,6078,69891.0,19160.0,33533.0,3143.0,5.8,2672,40.7355276382,-73.7861306533,3
174174,174174,Queens,Queens,4748,54569.0,7371.0,19170.0,2571.0,17.0,2528,40.7083919598,-73.7323115578,3
211499,211499,Queens,Queens,1866,54620.0,14398.0,23741.0,3576.0,9.3,891,40.5274874372,-73.98874371859999,0
147117,147117,Queens,Queens,3044,74336.0,19823.0,27150.0,3965.0,6.2,1460,40.7355276382,-73.8811055276,0
358763,358763,Queens,Queens,3216,95109.0,15822.0,36785.0,4191.0,1.5,1484,40.5568844221,-73.98241206029999,0
269503,269503,Queens,Queens,3121,84393.0,10877.0,31103.0,3411.0,8.8,1469,40.7242211055,-73.8336180905,0
292095,292095,Queens,Queens,5571,65250.0,19501.0,33971.0,5761.0,12.9,2677,40.5727135678,-73.7924623116,3
282852,282852,Queens,Queens,3460,81105.0,15001.0,26942.0,4660.0,9.8,1654,40.6835175879,-73.8431155779,0
174901,174901,Queens,Queens,3024,37054.0,10457.0,15765.0,2155.0,25.7,1346,40.753618090500005,-73.84628140699999,1
24367,24367,Queens,Queens,943,58690.0,6000.0,29978.0,4885.0,18.0,571,40.620201005,-73.8082914573,1
134687,134687,Queens,Queens,1217,48355.0,17055.0,19569.0,3330.0,10.8,608,40.5975879397,-73.801959799,1
275134,275134,Queens,Queens,2463,95854.0,8979.0,42063.0,4325.0,5.0,1248,40.5003517588,-73.9001005025,0
234229,234229,Queens,Queens,1655,88958.0,20842.0,24717.0,3966.0,12.3,934,40.7106532663,-73.84944723619999,0
233112,233112,Queens,Queens,120,112188.0,36620.0,40424.0,23212.0,0.0,64,40.5342713568,-73.9570854271,2
18972,18972,Queens,Queens,2418,18594.0,9408.0,13937.0,2794.0,41.9,868,40.6518592965,-73.7987939698,1
225289,225289,Queens,Queens,5382,53465.0,9985.0,21119.0,3129.0,26.4,2683,40.6518592965,-73.7513065327,3
387586,387586,Queens,Queens,3984,63189.0,11401.0,30022.0,3297.0,7.1,1872,40.7106532663,-73.8969346734,0
127637,127637,Queens,Queens,6233,48170.0,9425.0,23480.0,3540.0,14.5,3091,40.615678392,-73.7956281407,3
70832,70832,Queens,Queens,2717,60771.0,6123.0,36674.0,5529.0,16.3,1808,40.7490954774,-73.7069849246,1
375247,375247,Queens,Queens,1520,70268.0,27687.0,25599.0,5440.0,17.5,638,40.7355276382,-73.93175879399999,0
329925,329925,Queens,Queens,4006,93333.0,21346.0,42135.0,4452.0,3.5,1678,40.7581407035,-73.9349246231,0
145904,145904,Queens,Queens,3394,47614.0,4569.0,22222.0,3972.0,12.6,1536,40.5727135678,-73.7987939698,1
210332,210332,Queens,Queens,2023,55281.0,8085.0,27391.0,3234.0,6.4,1063,40.586281407,-73.85261306529999,0
102159,102159,Queens,Queens,5889,61867.0,9384.0,37192.0,3818.0,9.2,3211,40.6473366834,-73.8177889447,3
210690,210690,Queens,Queens,2693,69560.0,9476.0,37826.0,5569.0,10.2,1452,40.6812562814,-73.8336180905,0
345513,345513,Queens,Queens,2559,75852.0,9051.0,40151.0,5178.0,6.3,1157,40.7151758794,-73.7608040201,0
323663,323663,Queens,Queens,6845,32721.0,4520.0,16333.0,2559.0,23.3,3045,40.7038693467,-73.85894472359999,3
168843,168843,Queens,Queens,2612,79375.0,34251.0,31695.0,4271.0,11.3,1279,40.5048743719,-73.9001005025,0
403794,403794,Queens,Queens,2913,92308.0,8452.0,45570.0,9591.0,4.6,1232,40.6518592965,-73.7703015075,0
29786,29786,Queens,Queens,3845,61750.0,8551.0,35662.0,4566.0,18.0,2477,40.7581407035,-73.8747738693,3
113950,113950,Queens,Queens,2048,67596.0,21544.0,23334.0,3158.0,12.7,951,40.5614070352,-73.9064321608,0
89160,89160,Queens,Queens,2342,54063.0,15933.0,19757.0,2378.0,24.1,1040,40.6835175879,-73.8621105528,1
372978,372978,Queens,Queens,2556,70938.0,18608.0,23719.0,3045.0,14.9,1102,40.6518592965,-73.7703015075,0
212089,212089,Queens,Queens,1777,59412.0,13051.0,28866.0,5474.0,14.6,870,40.7151758794,-73.8906030151,0
